date,country_code,covid,coronavirus,search_max
2019-12-01,AT,0,0,0
2019-12-08,AT,0,0,0
2019-12-15,AT,0,0,0
2019-12-22,AT,0,0,0
2019-12-29,AT,0,0,0
2020-01-05,AT,0,0,0
2020-01-12,AT,0,0,0
2020-01-19,AT,0,4,4
2020-01-26,AT,0,16,16
2020-02-02,AT,0,8,8
2020-02-09,AT,0,6,6
2020-02-16,AT,0,5,5
2020-02-23,AT,1,48,48
2020-03-01,AT,1,35,35
2020-03-08,AT,4,100,100
2020-03-15,AT,8,87,87
2020-03-22,AT,8,54,54
2020-03-29,AT,8,49,49
2020-04-05,AT,7,42,42
2020-04-12,AT,6,30,30
2020-04-19,AT,5,23,23
2020-04-26,AT,5,19,19
2020-05-03,AT,4,17,17
2020-05-10,AT,4,15,15
2020-05-17,AT,4,12,12
2020-05-24,AT,4,8,8
2020-05-31,AT,3,8,8
2020-06-07,AT,3,7,7
2020-06-14,AT,4,7,7
2020-06-21,AT,4,8,8
2020-06-28,AT,5,9,9
2020-07-05,AT,5,10,10
2020-07-12,AT,5,9,9
2020-07-19,AT,5,9,9
2020-07-26,AT,5,8,8
2020-08-02,AT,4,10,10
2020-08-09,AT,4,7,7
2020-08-16,AT,5,7,7
2020-08-23,AT,4,7,7
2020-08-30,AT,4,6,6
2020-09-06,AT,5,7,7
2020-09-13,AT,7,10,10
2020-09-20,AT,6,8,8
2020-09-27,AT,5,7,7
2020-10-04,AT,5,7,7
2020-10-11,AT,6,8,8
2020-10-18,AT,8,10,10
2020-10-25,AT,9,12,12
2020-11-01,AT,8,9,9
2020-11-08,AT,8,10,10
2020-11-15,AT,8,8,8
