date,country_code,covid,coronavirus,search_max
2019-12-01,BE,0,0,0
2019-12-08,BE,0,0,0
2019-12-15,BE,0,0,0
2019-12-22,BE,0,0,0
2019-12-29,BE,0,0,0
2020-01-05,BE,0,0,0
2020-01-12,BE,0,0,0
2020-01-19,BE,0,6,6
2020-01-26,BE,0,12,12
2020-02-02,BE,0,8,8
2020-02-09,BE,0,6,6
2020-02-16,BE,0,4,4
2020-02-23,BE,1,29,29
2020-03-01,BE,2,49,49
2020-03-08,BE,5,92,92
2020-03-15,BE,10,100,100
2020-03-22,BE,11,74,74
2020-03-29,BE,10,62,62
2020-04-05,BE,10,69,69
2020-04-12,BE,10,63,63
2020-04-19,BE,9,36,36
2020-04-26,BE,8,29,29
2020-05-03,BE,8,23,23
2020-05-10,BE,8,19,19
2020-05-17,BE,7,17,17
2020-05-24,BE,7,14,14
2020-05-31,BE,7,12,12
2020-06-07,BE,6,11,11
2020-06-14,BE,6,10,10
2020-06-21,BE,7,10,10
2020-06-28,BE,6,8,8
2020-07-05,BE,7,11,11
2020-07-12,BE,9,12,12
2020-07-19,BE,13,15,15
2020-07-26,BE,17,17,17
2020-08-02,BE,14,12,14
2020-08-09,BE,10,9,10
2020-08-16,BE,11,8,11
2020-08-23,BE,11,8,11
2020-08-30,BE,10,8,10
2020-09-06,BE,13,8,13
2020-09-13,BE,14,10,14
2020-09-20,BE,11,9,11
2020-09-27,BE,11,7,11
2020-10-04,BE,17,12,17
2020-10-11,BE,25,16,25
2020-10-18,BE,27,16,27
2020-10-25,BE,26,17,26
2020-11-01,BE,16,10,16
2020-11-08,BE,12,9,12
2020-11-15,BE,11,7,11
