date,country_code,covid,coronavirus,search_max
2019-12-01,BG,0,0,0
2019-12-08,BG,0,0,0
2019-12-15,BG,0,0,0
2019-12-22,BG,0,0,0
2019-12-29,BG,0,0,0
2020-01-05,BG,0,0,0
2020-01-12,BG,0,0,0
2020-01-19,BG,0,3,3
2020-01-26,BG,0,13,13
2020-02-02,BG,0,11,11
2020-02-09,BG,0,8,8
2020-02-16,BG,0,7,7
2020-02-23,BG,3,49,49
2020-03-01,BG,4,31,31
2020-03-08,BG,24,95,95
2020-03-15,BG,38,100,100
2020-03-22,BG,36,88,88
2020-03-29,BG,37,85,85
2020-04-05,BG,29,70,70
2020-04-12,BG,29,56,56
2020-04-19,BG,24,44,44
2020-04-26,BG,18,34,34
2020-05-03,BG,19,30,30
2020-05-10,BG,17,23,23
2020-05-17,BG,12,18,18
2020-05-24,BG,11,14,14
2020-05-31,BG,11,16,16
2020-06-07,BG,14,15,15
2020-06-14,BG,11,13,13
2020-06-21,BG,15,15,15
2020-06-28,BG,15,15,15
2020-07-05,BG,18,17,18
2020-07-12,BG,15,13,15
2020-07-19,BG,15,14,15
2020-07-26,BG,14,13,14
2020-08-02,BG,14,12,14
2020-08-09,BG,14,12,14
2020-08-16,BG,13,12,13
2020-08-23,BG,13,10,13
2020-08-30,BG,10,8,10
2020-09-06,BG,10,9,10
2020-09-13,BG,11,10,11
2020-09-20,BG,10,9,10
2020-09-27,BG,9,8,9
2020-10-04,BG,13,10,13
2020-10-11,BG,15,11,15
2020-10-18,BG,22,13,22
2020-10-25,BG,24,14,24
2020-11-01,BG,22,13,22
2020-11-08,BG,21,12,21
2020-11-15,BG,19,9,19
