date,country_code,covid,coronavirus,search_max
2019-12-01,CY,0,0,0
2019-12-08,CY,0,0,0
2019-12-15,CY,0,0,0
2019-12-22,CY,0,0,0
2019-12-29,CY,0,0,0
2020-01-05,CY,0,0,0
2020-01-12,CY,0,0,0
2020-01-19,CY,0,3,3
2020-01-26,CY,0,16,16
2020-02-02,CY,0,11,11
2020-02-09,CY,0,8,8
2020-02-16,CY,0,7,7
2020-02-23,CY,2,30,30
2020-03-01,CY,2,27,27
2020-03-08,CY,12,98,98
2020-03-15,CY,16,100,100
2020-03-22,CY,18,90,90
2020-03-29,CY,20,79,79
2020-04-05,CY,19,62,62
2020-04-12,CY,18,50,50
2020-04-19,CY,15,46,46
2020-04-26,CY,16,38,38
2020-05-03,CY,17,39,39
2020-05-10,CY,14,30,30
2020-05-17,CY,12,25,25
2020-05-24,CY,13,20,20
2020-05-31,CY,10,19,19
2020-06-07,CY,10,18,18
2020-06-14,CY,10,14,14
2020-06-21,CY,10,13,13
2020-06-28,CY,11,15,15
2020-07-05,CY,11,15,15
2020-07-12,CY,11,15,15
2020-07-19,CY,12,15,15
2020-07-26,CY,17,19,19
2020-08-02,CY,19,20,20
2020-08-09,CY,18,14,18
2020-08-16,CY,16,15,16
2020-08-23,CY,14,11,14
2020-08-30,CY,14,10,14
2020-09-06,CY,14,11,14
2020-09-13,CY,13,10,13
2020-09-20,CY,14,12,14
2020-09-27,CY,14,9,14
2020-10-04,CY,15,10,15
2020-10-11,CY,22,18,22
2020-10-18,CY,25,18,25
2020-10-25,CY,22,15,22
2020-11-01,CY,19,14,19
2020-11-08,CY,20,14,20
2020-11-15,CY,18,10,18
