date,country_code,covid,coronavirus,search_max
2019-12-01,CZ,0,0,0
2019-12-08,CZ,0,0,0
2019-12-15,CZ,0,0,0
2019-12-22,CZ,0,0,0
2019-12-29,CZ,0,0,0
2020-01-05,CZ,0,0,0
2020-01-12,CZ,0,0,0
2020-01-19,CZ,0,6,6
2020-01-26,CZ,0,27,27
2020-02-02,CZ,0,13,13
2020-02-09,CZ,0,10,10
2020-02-16,CZ,1,7,7
2020-02-23,CZ,3,49,49
2020-03-01,CZ,6,56,56
2020-03-08,CZ,19,100,100
2020-03-15,CZ,29,88,88
2020-03-22,CZ,33,63,63
2020-03-29,CZ,31,50,50
2020-04-05,CZ,24,35,35
2020-04-12,CZ,21,25,25
2020-04-19,CZ,21,19,21
2020-04-26,CZ,17,15,17
2020-05-03,CZ,16,12,16
2020-05-10,CZ,16,10,16
2020-05-17,CZ,15,10,15
2020-05-24,CZ,13,8,13
2020-05-31,CZ,12,7,12
2020-06-07,CZ,11,5,11
2020-06-14,CZ,12,6,12
2020-06-21,CZ,14,7,14
2020-06-28,CZ,19,8,19
2020-07-05,CZ,17,7,17
2020-07-12,CZ,19,8,19
2020-07-19,CZ,28,8,28
2020-07-26,CZ,28,8,28
2020-08-02,CZ,25,6,25
2020-08-09,CZ,25,6,25
2020-08-16,CZ,27,6,27
2020-08-23,CZ,29,5,29
2020-08-30,CZ,37,6,37
2020-09-06,CZ,55,9,55
2020-09-13,CZ,71,10,71
2020-09-20,CZ,55,8,55
2020-09-27,CZ,59,7,59
2020-10-04,CZ,70,9,70
2020-10-11,CZ,82,10,82
2020-10-18,CZ,99,10,99
2020-10-25,CZ,90,9,90
2020-11-01,CZ,60,6,60
2020-11-08,CZ,50,5,50
2020-11-15,CZ,48,5,48
