date,country_code,covid,coronavirus,search_max
2019-12-01,DE,0,0,0
2019-12-08,DE,0,0,0
2019-12-15,DE,0,0,0
2019-12-22,DE,0,0,0
2019-12-29,DE,0,0,0
2020-01-05,DE,0,0,0
2020-01-12,DE,0,0,0
2020-01-19,DE,0,5,5
2020-01-26,DE,0,26,26
2020-02-02,DE,0,13,13
2020-02-09,DE,0,8,8
2020-02-16,DE,0,6,6
2020-02-23,DE,1,56,56
2020-03-01,DE,1,60,60
2020-03-08,DE,3,98,98
2020-03-15,DE,5,100,100
2020-03-22,DE,5,72,72
2020-03-29,DE,5,58,58
2020-04-05,DE,4,56,56
2020-04-12,DE,3,44,44
2020-04-19,DE,3,32,32
2020-04-26,DE,3,27,27
2020-05-03,DE,3,26,26
2020-05-10,DE,3,23,23
2020-05-17,DE,2,15,15
2020-05-24,DE,2,11,11
2020-05-31,DE,2,11,11
2020-06-07,DE,2,9,9
2020-06-14,DE,2,10,10
2020-06-21,DE,2,10,10
2020-06-28,DE,2,8,8
2020-07-05,DE,2,8,8
2020-07-12,DE,2,7,7
2020-07-19,DE,2,7,7
2020-07-26,DE,2,9,9
2020-08-02,DE,3,13,13
2020-08-09,DE,2,8,8
2020-08-16,DE,3,8,8
2020-08-23,DE,3,8,8
2020-08-30,DE,2,7,7
2020-09-06,DE,2,6,6
2020-09-13,DE,2,6,6
2020-09-20,DE,3,7,7
2020-09-27,DE,3,7,7
2020-10-04,DE,3,8,8
2020-10-11,DE,4,11,11
2020-10-18,DE,4,12,12
2020-10-25,DE,5,13,13
2020-11-01,DE,3,9,9
2020-11-08,DE,3,8,8
2020-11-15,DE,3,8,8
