date,country_code,covid,coronavirus,search_max
2019-12-01,DK,0,0,0
2019-12-08,DK,0,0,0
2019-12-15,DK,0,0,0
2019-12-22,DK,0,0,0
2019-12-29,DK,0,0,0
2020-01-05,DK,0,0,0
2020-01-12,DK,0,0,0
2020-01-19,DK,0,5,5
2020-01-26,DK,0,25,25
2020-02-02,DK,0,12,12
2020-02-09,DK,0,8,8
2020-02-16,DK,0,6,6
2020-02-23,DK,2,37,37
2020-03-01,DK,4,40,40
2020-03-08,DK,12,100,100
2020-03-15,DK,12,58,58
2020-03-22,DK,10,43,43
2020-03-29,DK,8,50,50
2020-04-05,DK,11,79,79
2020-04-12,DK,8,67,67
2020-04-19,DK,8,25,25
2020-04-26,DK,7,19,19
2020-05-03,DK,7,19,19
2020-05-10,DK,7,16,16
2020-05-17,DK,7,12,12
2020-05-24,DK,6,8,8
2020-05-31,DK,6,7,7
2020-06-07,DK,6,7,7
2020-06-14,DK,7,7,7
2020-06-21,DK,7,7,7
2020-06-28,DK,6,6,6
2020-07-05,DK,6,6,6
2020-07-12,DK,6,5,6
2020-07-19,DK,7,5,7
2020-07-26,DK,7,6,7
2020-08-02,DK,9,7,9
2020-08-09,DK,11,7,11
2020-08-16,DK,10,5,10
2020-08-23,DK,9,5,9
2020-08-30,DK,9,5,9
2020-09-06,DK,11,6,11
2020-09-13,DK,12,6,12
2020-09-20,DK,13,6,13
2020-09-27,DK,11,5,11
2020-10-04,DK,9,4,9
2020-10-11,DK,8,4,8
2020-10-18,DK,10,5,10
2020-10-25,DK,14,6,14
2020-11-01,DK,13,6,13
2020-11-08,DK,11,5,11
2020-11-15,DK,10,4,10
