date,country_code,covid,coronavirus,search_max
2019-12-01,EE,0,0,0
2019-12-08,EE,0,0,0
2019-12-15,EE,0,0,0
2019-12-22,EE,0,0,0
2019-12-29,EE,0,0,0
2020-01-05,EE,0,0,0
2020-01-12,EE,0,0,0
2020-01-19,EE,0,6,6
2020-01-26,EE,0,34,34
2020-02-02,EE,0,17,17
2020-02-09,EE,0,13,13
2020-02-16,EE,1,9,9
2020-02-23,EE,4,43,43
2020-03-01,EE,3,41,41
2020-03-08,EE,17,100,100
2020-03-15,EE,16,78,78
2020-03-22,EE,19,66,66
2020-03-29,EE,19,65,65
2020-04-05,EE,17,45,45
2020-04-12,EE,12,30,30
2020-04-19,EE,14,24,24
2020-04-26,EE,12,21,21
2020-05-03,EE,11,14,14
2020-05-10,EE,11,15,15
2020-05-17,EE,11,13,13
2020-05-24,EE,9,10,10
2020-05-31,EE,9,10,10
2020-06-07,EE,8,11,11
2020-06-14,EE,7,9,9
2020-06-21,EE,10,8,10
2020-06-28,EE,10,9,10
2020-07-05,EE,11,11,11
2020-07-12,EE,13,12,13
2020-07-19,EE,12,11,12
2020-07-26,EE,17,13,17
2020-08-02,EE,22,10,22
2020-08-09,EE,19,11,19
2020-08-16,EE,15,9,15
2020-08-23,EE,19,9,19
2020-08-30,EE,19,9,19
2020-09-06,EE,19,9,19
2020-09-13,EE,18,8,18
2020-09-20,EE,17,10,17
2020-09-27,EE,16,7,16
2020-10-04,EE,14,7,14
2020-10-11,EE,13,7,13
2020-10-18,EE,14,9,14
2020-10-25,EE,17,10,17
2020-11-01,EE,20,9,20
2020-11-08,EE,24,10,24
2020-11-15,EE,21,11,21
