date,country_code,covid,coronavirus,search_max
2019-12-01,ES,0,0,0
2019-12-08,ES,0,0,0
2019-12-15,ES,0,0,0
2019-12-22,ES,0,0,0
2019-12-29,ES,0,0,0
2020-01-05,ES,0,0,0
2020-01-12,ES,0,0,0
2020-01-19,ES,0,2,2
2020-01-26,ES,0,8,8
2020-02-02,ES,0,5,5
2020-02-09,ES,0,4,4
2020-02-16,ES,0,3,3
2020-02-23,ES,0,30,30
2020-03-01,ES,0,30,30
2020-03-08,ES,2,100,100
2020-03-15,ES,5,93,93
2020-03-22,ES,5,71,71
2020-03-29,ES,5,55,55
2020-04-05,ES,5,51,51
2020-04-12,ES,5,37,37
2020-04-19,ES,5,32,32
2020-04-26,ES,5,28,28
2020-05-03,ES,6,27,27
2020-05-10,ES,5,23,23
2020-05-17,ES,5,21,21
2020-05-24,ES,5,16,16
2020-05-31,ES,4,11,11
2020-06-07,ES,3,9,9
2020-06-14,ES,3,9,9
2020-06-21,ES,4,10,10
2020-06-28,ES,3,9,9
2020-07-05,ES,4,11,11
2020-07-12,ES,5,13,13
2020-07-19,ES,6,13,13
2020-07-26,ES,6,13,13
2020-08-02,ES,6,12,12
2020-08-09,ES,8,12,12
2020-08-16,ES,8,12,12
2020-08-23,ES,8,11,11
2020-08-30,ES,7,10,10
2020-09-06,ES,7,9,9
2020-09-13,ES,7,9,9
2020-09-20,ES,7,9,9
2020-09-27,ES,6,8,8
2020-10-04,ES,6,7,7
2020-10-11,ES,6,8,8
2020-10-18,ES,8,9,9
2020-10-25,ES,10,11,11
2020-11-01,ES,8,10,10
2020-11-08,ES,8,8,8
2020-11-15,ES,6,7,7
