date,country_code,covid,coronavirus,search_max
2019-12-01,FI,0,0,0
2019-12-08,FI,0,0,0
2019-12-15,FI,0,0,0
2019-12-22,FI,0,0,0
2019-12-29,FI,0,0,0
2020-01-05,FI,0,0,0
2020-01-12,FI,0,0,0
2020-01-19,FI,0,13,13
2020-01-26,FI,0,39,39
2020-02-02,FI,0,20,20
2020-02-09,FI,0,18,18
2020-02-16,FI,0,11,11
2020-02-23,FI,2,42,42
2020-03-01,FI,3,39,39
2020-03-08,FI,12,100,100
2020-03-15,FI,15,73,73
2020-03-22,FI,16,60,60
2020-03-29,FI,13,51,51
2020-04-05,FI,12,41,41
2020-04-12,FI,11,31,31
2020-04-19,FI,9,24,24
2020-04-26,FI,8,20,20
2020-05-03,FI,7,15,15
2020-05-10,FI,8,14,14
2020-05-17,FI,7,13,13
2020-05-24,FI,6,11,11
2020-05-31,FI,6,9,9
2020-06-07,FI,6,9,9
2020-06-14,FI,6,10,10
2020-06-21,FI,8,10,10
2020-06-28,FI,6,8,8
2020-07-05,FI,6,9,9
2020-07-12,FI,7,9,9
2020-07-19,FI,8,8,8
2020-07-26,FI,7,8,8
2020-08-02,FI,10,10,10
2020-08-09,FI,11,10,11
2020-08-16,FI,10,8,10
2020-08-23,FI,9,7,9
2020-08-30,FI,9,7,9
2020-09-06,FI,7,6,7
2020-09-13,FI,7,6,7
2020-09-20,FI,9,7,9
2020-09-27,FI,9,6,9
2020-10-04,FI,11,7,11
2020-10-11,FI,11,7,11
2020-10-18,FI,9,6,9
2020-10-25,FI,9,6,9
2020-11-01,FI,8,6,8
2020-11-08,FI,8,6,8
2020-11-15,FI,10,7,10
