date,country_code,covid,coronavirus,search_max
2019-12-01,FR,0,0,0
2019-12-08,FR,0,0,0
2019-12-15,FR,0,0,0
2019-12-22,FR,0,0,0
2019-12-29,FR,0,0,0
2020-01-05,FR,0,0,0
2020-01-12,FR,0,0,0
2020-01-19,FR,0,4,4
2020-01-26,FR,0,9,9
2020-02-02,FR,0,6,6
2020-02-09,FR,0,5,5
2020-02-16,FR,0,4,4
2020-02-23,FR,1,27,27
2020-03-01,FR,1,45,45
2020-03-08,FR,4,76,76
2020-03-15,FR,12,100,100
2020-03-22,FR,12,63,63
2020-03-29,FR,11,49,49
2020-04-05,FR,11,50,50
2020-04-12,FR,11,44,44
2020-04-19,FR,10,30,30
2020-04-26,FR,11,25,25
2020-05-03,FR,11,22,22
2020-05-10,FR,9,19,19
2020-05-17,FR,8,15,15
2020-05-24,FR,7,12,12
2020-05-31,FR,6,9,9
2020-06-07,FR,5,7,7
2020-06-14,FR,5,8,8
2020-06-21,FR,6,8,8
2020-06-28,FR,5,7,7
2020-07-05,FR,6,8,8
2020-07-12,FR,8,8,8
2020-07-19,FR,8,8,8
2020-07-26,FR,8,8,8
2020-08-02,FR,7,6,7
2020-08-09,FR,8,6,8
2020-08-16,FR,9,6,9
2020-08-23,FR,10,6,10
2020-08-30,FR,10,6,10
2020-09-06,FR,14,7,14
2020-09-13,FR,13,7,13
2020-09-20,FR,14,7,14
2020-09-27,FR,10,6,10
2020-10-04,FR,12,6,12
2020-10-11,FR,15,6,15
2020-10-18,FR,17,7,17
2020-10-25,FR,37,10,37
2020-11-01,FR,30,8,30
2020-11-08,FR,25,7,25
2020-11-15,FR,20,5,20
