date,country_code,covid,coronavirus,search_max
2019-12-01,GB,0,0,0
2019-12-08,GB,0,0,0
2019-12-15,GB,0,0,0
2019-12-22,GB,0,0,0
2019-12-29,GB,0,0,0
2020-01-05,GB,0,0,0
2020-01-12,GB,0,0,0
2020-01-19,GB,0,3,3
2020-01-26,GB,0,11,11
2020-02-02,GB,0,7,7
2020-02-09,GB,0,8,8
2020-02-16,GB,0,4,4
2020-02-23,GB,1,18,18
2020-03-01,GB,1,34,34
2020-03-08,GB,5,74,74
2020-03-15,GB,13,100,100
2020-03-22,GB,16,83,83
2020-03-29,GB,13,60,60
2020-04-05,GB,12,59,59
2020-04-12,GB,10,50,50
2020-04-19,GB,9,37,37
2020-04-26,GB,9,29,29
2020-05-03,GB,9,27,27
2020-05-10,GB,11,25,25
2020-05-17,GB,9,20,20
2020-05-24,GB,9,19,19
2020-05-31,GB,9,16,16
2020-06-07,GB,8,14,14
2020-06-14,GB,8,13,13
2020-06-21,GB,9,14,14
2020-06-28,GB,10,14,14
2020-07-05,GB,9,15,15
2020-07-12,GB,9,12,12
2020-07-19,GB,9,11,11
2020-07-26,GB,10,13,13
2020-08-02,GB,10,12,12
2020-08-09,GB,10,11,11
2020-08-16,GB,10,10,10
2020-08-23,GB,9,8,9
2020-08-30,GB,10,9,10
2020-09-06,GB,17,14,17
2020-09-13,GB,18,13,18
2020-09-20,GB,20,15,20
2020-09-27,GB,16,12,16
2020-10-04,GB,16,12,16
2020-10-11,GB,22,12,22
2020-10-18,GB,17,10,17
2020-10-25,GB,17,11,17
2020-11-01,GB,15,10,15
2020-11-08,GB,14,8,14
2020-11-15,GB,13,8,13
