date,country_code,covid,coronavirus,search_max
2019-12-01,GR,0,0,0
2019-12-08,GR,0,0,0
2019-12-15,GR,0,0,0
2019-12-22,GR,0,0,0
2019-12-29,GR,0,0,0
2020-01-05,GR,0,0,0
2020-01-12,GR,0,0,0
2020-01-19,GR,0,3,3
2020-01-26,GR,0,14,14
2020-02-02,GR,0,10,10
2020-02-09,GR,0,8,8
2020-02-16,GR,0,6,6
2020-02-23,GR,3,44,44
2020-03-01,GR,4,37,37
2020-03-08,GR,16,95,95
2020-03-15,GR,27,100,100
2020-03-22,GR,28,91,91
2020-03-29,GR,25,80,80
2020-04-05,GR,24,61,61
2020-04-12,GR,22,53,53
2020-04-19,GR,19,42,42
2020-04-26,GR,20,35,35
2020-05-03,GR,17,29,29
2020-05-10,GR,15,25,25
2020-05-17,GR,14,21,21
2020-05-24,GR,14,18,18
2020-05-31,GR,13,15,15
2020-06-07,GR,13,17,17
2020-06-14,GR,16,12,16
2020-06-21,GR,15,13,15
2020-06-28,GR,16,13,16
2020-07-05,GR,14,14,14
2020-07-12,GR,16,15,16
2020-07-19,GR,17,15,17
2020-07-26,GR,21,18,21
2020-08-02,GR,28,21,28
2020-08-09,GR,37,25,37
2020-08-16,GR,36,22,36
2020-08-23,GR,28,17,28
2020-08-30,GR,24,15,24
2020-09-06,GR,22,14,22
2020-09-13,GR,22,13,22
2020-09-20,GR,24,12,24
2020-09-27,GR,23,10,23
2020-10-04,GR,27,9,27
2020-10-11,GR,27,11,27
2020-10-18,GR,35,10,35
2020-10-25,GR,47,15,47
2020-11-01,GR,41,14,41
2020-11-08,GR,36,12,36
2020-11-15,GR,31,9,31
