date,country_code,covid,coronavirus,search_max
2019-12-01,HR,0,0,0
2019-12-08,HR,0,0,0
2019-12-15,HR,0,0,0
2019-12-22,HR,0,0,0
2019-12-29,HR,0,0,0
2020-01-05,HR,0,0,0
2020-01-12,HR,0,0,0
2020-01-19,HR,0,8,8
2020-01-26,HR,0,32,32
2020-02-02,HR,0,20,20
2020-02-09,HR,0,12,12
2020-02-16,HR,0,9,9
2020-02-23,HR,2,67,67
2020-03-01,HR,2,35,35
2020-03-08,HR,12,86,86
2020-03-15,HR,28,100,100
2020-03-22,HR,30,84,84
2020-03-29,HR,29,71,71
2020-04-05,HR,24,56,56
2020-04-12,HR,24,44,44
2020-04-19,HR,21,32,32
2020-04-26,HR,20,26,26
2020-05-03,HR,19,22,22
2020-05-10,HR,17,19,19
2020-05-17,HR,13,18,18
2020-05-24,HR,11,14,14
2020-05-31,HR,10,14,14
2020-06-07,HR,11,14,14
2020-06-14,HR,13,16,16
2020-06-21,HR,28,24,28
2020-06-28,HR,23,18,23
2020-07-05,HR,23,18,23
2020-07-12,HR,24,17,24
2020-07-19,HR,22,18,22
2020-07-26,HR,24,18,24
2020-08-02,HR,20,14,20
2020-08-09,HR,33,22,33
2020-08-16,HR,45,23,45
2020-08-23,HR,32,17,32
2020-08-30,HR,25,10,25
2020-09-06,HR,23,10,23
2020-09-13,HR,19,9,19
2020-09-20,HR,16,7,16
2020-09-27,HR,16,8,16
2020-10-04,HR,21,10,21
2020-10-11,HR,27,12,27
2020-10-18,HR,34,13,34
2020-10-25,HR,39,13,39
2020-11-01,HR,29,10,29
2020-11-08,HR,32,7,32
2020-11-15,HR,29,8,29
