date,country_code,covid,coronavirus,search_max
2019-12-01,IE,0,0,0
2019-12-08,IE,0,0,0
2019-12-15,IE,0,0,0
2019-12-22,IE,0,0,0
2019-12-29,IE,0,0,0
2020-01-05,IE,0,0,0
2020-01-12,IE,0,0,0
2020-01-19,IE,0,3,3
2020-01-26,IE,0,12,12
2020-02-02,IE,0,9,9
2020-02-09,IE,0,6,6
2020-02-16,IE,0,4,4
2020-02-23,IE,2,35,35
2020-03-01,IE,5,52,52
2020-03-08,IE,19,100,100
2020-03-15,IE,31,93,93
2020-03-22,IE,35,77,77
2020-03-29,IE,30,60,60
2020-04-05,IE,24,60,60
2020-04-12,IE,20,52,52
2020-04-19,IE,17,39,39
2020-04-26,IE,17,30,30
2020-05-03,IE,16,23,23
2020-05-10,IE,16,21,21
2020-05-17,IE,15,17,17
2020-05-24,IE,14,15,15
2020-05-31,IE,14,14,14
2020-06-07,IE,12,12,12
2020-06-14,IE,12,11,12
2020-06-21,IE,12,12,12
2020-06-28,IE,14,12,14
2020-07-05,IE,18,12,18
2020-07-12,IE,16,13,16
2020-07-19,IE,14,11,14
2020-07-26,IE,15,12,15
2020-08-02,IE,19,13,19
2020-08-09,IE,20,13,20
2020-08-16,IE,22,13,22
2020-08-23,IE,17,10,17
2020-08-30,IE,18,11,18
2020-09-06,IE,19,11,19
2020-09-13,IE,24,12,24
2020-09-20,IE,22,11,22
2020-09-27,IE,21,11,21
2020-10-04,IE,30,15,30
2020-10-11,IE,28,16,28
2020-10-18,IE,25,12,25
2020-10-25,IE,15,9,15
2020-11-01,IE,12,7,12
2020-11-08,IE,12,7,12
2020-11-15,IE,12,7,12
