date,country_code,covid,coronavirus,search_max
2019-12-01,IT,0,0,0
2019-12-08,IT,0,0,0
2019-12-15,IT,0,0,0
2019-12-22,IT,0,0,0
2019-12-29,IT,0,0,0
2020-01-05,IT,0,0,0
2020-01-12,IT,0,0,0
2020-01-19,IT,0,2,2
2020-01-26,IT,0,13,13
2020-02-02,IT,0,7,7
2020-02-09,IT,0,5,5
2020-02-16,IT,0,23,23
2020-02-23,IT,1,88,88
2020-03-01,IT,2,69,69
2020-03-08,IT,5,100,100
2020-03-15,IT,7,79,79
2020-03-22,IT,7,62,62
2020-03-29,IT,7,48,48
2020-04-05,IT,7,41,41
2020-04-12,IT,7,38,38
2020-04-19,IT,7,31,31
2020-04-26,IT,8,28,28
2020-05-03,IT,8,25,25
2020-05-10,IT,7,21,21
2020-05-17,IT,7,18,18
2020-05-24,IT,7,15,15
2020-05-31,IT,6,13,13
2020-06-07,IT,5,11,11
2020-06-14,IT,5,11,11
2020-06-21,IT,5,11,11
2020-06-28,IT,5,9,9
2020-07-05,IT,5,10,10
2020-07-12,IT,5,9,9
2020-07-19,IT,6,9,9
2020-07-26,IT,7,9,9
2020-08-02,IT,6,9,9
2020-08-09,IT,9,11,11
2020-08-16,IT,11,13,13
2020-08-23,IT,11,12,12
2020-08-30,IT,9,10,10
2020-09-06,IT,8,9,9
2020-09-13,IT,8,8,8
2020-09-20,IT,7,8,8
2020-09-27,IT,9,9,9
2020-10-04,IT,12,12,12
2020-10-11,IT,17,15,17
2020-10-18,IT,20,17,20
2020-10-25,IT,22,17,22
2020-11-01,IT,21,15,21
2020-11-08,IT,21,15,21
2020-11-15,IT,16,12,16
