date,country_code,covid,coronavirus,search_max
2019-12-01,LT,0,0,0
2019-12-08,LT,0,0,0
2019-12-15,LT,0,0,0
2019-12-22,LT,0,0,0
2019-12-29,LT,0,0,0
2020-01-05,LT,0,0,0
2020-01-12,LT,0,0,0
2020-01-19,LT,0,3,3
2020-01-26,LT,0,16,16
2020-02-02,LT,0,13,13
2020-02-09,LT,0,10,10
2020-02-16,LT,0,6,6
2020-02-23,LT,3,46,46
2020-03-01,LT,2,27,27
2020-03-08,LT,11,75,75
2020-03-15,LT,24,99,99
2020-03-22,LT,29,100,100
2020-03-29,LT,26,69,69
2020-04-05,LT,22,56,56
2020-04-12,LT,19,42,42
2020-04-19,LT,19,29,29
2020-04-26,LT,16,25,25
2020-05-03,LT,16,23,23
2020-05-10,LT,14,17,17
2020-05-17,LT,12,14,14
2020-05-24,LT,12,12,12
2020-05-31,LT,13,10,13
2020-06-07,LT,12,10,12
2020-06-14,LT,13,8,13
2020-06-21,LT,13,9,13
2020-06-28,LT,14,11,14
2020-07-05,LT,18,12,18
2020-07-12,LT,21,13,21
2020-07-19,LT,22,12,22
2020-07-26,LT,27,12,27
2020-08-02,LT,27,12,27
2020-08-09,LT,28,10,28
2020-08-16,LT,26,10,26
2020-08-23,LT,25,8,25
2020-08-30,LT,24,8,24
2020-09-06,LT,23,7,23
2020-09-13,LT,25,7,25
2020-09-20,LT,29,8,29
2020-09-27,LT,27,7,27
2020-10-04,LT,29,7,29
2020-10-11,LT,31,8,31
2020-10-18,LT,49,10,49
2020-10-25,LT,78,14,78
2020-11-01,LT,61,12,61
2020-11-08,LT,52,8,52
2020-11-15,LT,45,6,45
