date,country_code,covid,coronavirus,search_max
2019-12-01,LU,0,0,0
2019-12-08,LU,0,0,0
2019-12-15,LU,0,0,0
2019-12-22,LU,0,0,0
2019-12-29,LU,0,0,0
2020-01-05,LU,0,0,0
2020-01-12,LU,0,0,0
2020-01-19,LU,0,5,5
2020-01-26,LU,0,16,16
2020-02-02,LU,0,9,9
2020-02-09,LU,0,5,5
2020-02-16,LU,0,5,5
2020-02-23,LU,1,41,41
2020-03-01,LU,2,45,45
2020-03-08,LU,6,94,94
2020-03-15,LU,13,100,100
2020-03-22,LU,14,67,67
2020-03-29,LU,13,52,52
2020-04-05,LU,11,58,58
2020-04-12,LU,12,46,46
2020-04-19,LU,12,25,25
2020-04-26,LU,11,20,20
2020-05-03,LU,10,19,19
2020-05-10,LU,10,15,15
2020-05-17,LU,10,14,14
2020-05-24,LU,12,13,13
2020-05-31,LU,8,10,10
2020-06-07,LU,10,9,10
2020-06-14,LU,10,8,10
2020-06-21,LU,11,9,11
2020-06-28,LU,15,11,15
2020-07-05,LU,15,10,15
2020-07-12,LU,22,14,22
2020-07-19,LU,21,14,21
2020-07-26,LU,17,9,17
2020-08-02,LU,15,12,15
2020-08-09,LU,14,7,14
2020-08-16,LU,14,7,14
2020-08-23,LU,14,7,14
2020-08-30,LU,14,6,14
2020-09-06,LU,13,6,13
2020-09-13,LU,14,5,14
2020-09-20,LU,15,6,15
2020-09-27,LU,14,5,14
2020-10-04,LU,15,5,15
2020-10-11,LU,20,8,20
2020-10-18,LU,30,10,30
2020-10-25,LU,38,11,38
2020-11-01,LU,25,9,25
2020-11-08,LU,23,6,23
2020-11-15,LU,22,6,22
