date,country_code,covid,coronavirus,search_max
2019-12-01,LV,0,0,0
2019-12-08,LV,0,0,0
2019-12-15,LV,0,0,0
2019-12-22,LV,0,0,0
2019-12-29,LV,0,0,0
2020-01-05,LV,0,0,0
2020-01-12,LV,0,0,0
2020-01-19,LV,0,3,3
2020-01-26,LV,0,20,20
2020-02-02,LV,0,12,12
2020-02-09,LV,1,9,9
2020-02-16,LV,0,6,6
2020-02-23,LV,6,39,39
2020-03-01,LV,8,31,31
2020-03-08,LV,60,72,72
2020-03-15,LV,100,67,100
2020-03-22,LV,82,52,82
2020-03-29,LV,79,51,79
2020-04-05,LV,59,35,59
2020-04-12,LV,49,26,49
2020-04-19,LV,37,21,37
2020-04-26,LV,35,18,35
2020-05-03,LV,31,15,31
2020-05-10,LV,26,13,26
2020-05-17,LV,26,12,26
2020-05-24,LV,26,8,26
2020-05-31,LV,27,9,27
2020-06-07,LV,25,9,25
2020-06-14,LV,22,7,22
2020-06-21,LV,23,8,23
2020-06-28,LV,21,8,21
2020-07-05,LV,36,8,36
2020-07-12,LV,35,8,35
2020-07-19,LV,28,8,28
2020-07-26,LV,33,9,33
2020-08-02,LV,38,9,38
2020-08-09,LV,40,8,40
2020-08-16,LV,36,7,36
2020-08-23,LV,42,8,42
2020-08-30,LV,38,7,38
2020-09-06,LV,33,7,33
2020-09-13,LV,31,6,31
2020-09-20,LV,43,7,43
2020-09-27,LV,51,7,51
2020-10-04,LV,55,7,55
2020-10-11,LV,71,7,71
2020-10-18,LV,78,6,78
2020-10-25,LV,82,9,82
2020-11-01,LV,78,7,78
2020-11-08,LV,62,6,62
2020-11-15,LV,53,6,53
