date,country_code,covid,coronavirus,search_max
2019-12-01,MT,0,0,0
2019-12-08,MT,0,0,0
2019-12-15,MT,0,0,0
2019-12-22,MT,0,0,0
2019-12-29,MT,0,0,0
2020-01-05,MT,0,0,0
2020-01-12,MT,0,0,0
2020-01-19,MT,0,5,5
2020-01-26,MT,0,17,17
2020-02-02,MT,0,7,7
2020-02-09,MT,0,7,7
2020-02-16,MT,0,5,5
2020-02-23,MT,1,47,47
2020-03-01,MT,4,39,39
2020-03-08,MT,15,100,100
2020-03-15,MT,20,94,94
2020-03-22,MT,25,72,72
2020-03-29,MT,21,60,60
2020-04-05,MT,21,58,58
2020-04-12,MT,17,46,46
2020-04-19,MT,12,31,31
2020-04-26,MT,16,28,28
2020-05-03,MT,16,25,25
2020-05-10,MT,11,21,21
2020-05-17,MT,15,21,21
2020-05-24,MT,11,19,19
2020-05-31,MT,12,14,14
2020-06-07,MT,11,12,12
2020-06-14,MT,11,11,11
2020-06-21,MT,9,10,10
2020-06-28,MT,7,11,11
2020-07-05,MT,10,10,10
2020-07-12,MT,8,10,10
2020-07-19,MT,12,10,12
2020-07-26,MT,21,15,21
2020-08-02,MT,28,14,28
2020-08-09,MT,31,17,31
2020-08-16,MT,22,11,22
2020-08-23,MT,15,10,15
2020-08-30,MT,14,8,14
2020-09-06,MT,17,8,17
2020-09-13,MT,17,8,17
2020-09-20,MT,17,7,17
2020-09-27,MT,13,7,13
2020-10-04,MT,16,7,16
2020-10-11,MT,26,10,26
2020-10-18,MT,23,9,23
2020-10-25,MT,19,7,19
2020-11-01,MT,16,6,16
2020-11-08,MT,16,8,16
2020-11-15,MT,13,6,13
