date,country_code,covid,coronavirus,search_max
2019-12-01,NL,0,0,0
2019-12-08,NL,0,0,0
2019-12-15,NL,0,0,0
2019-12-22,NL,0,0,0
2019-12-29,NL,0,0,0
2020-01-05,NL,0,0,0
2020-01-12,NL,0,0,0
2020-01-19,NL,0,10,10
2020-01-26,NL,0,26,26
2020-02-02,NL,0,13,13
2020-02-09,NL,0,9,9
2020-02-16,NL,0,6,6
2020-02-23,NL,1,52,52
2020-03-01,NL,1,58,58
2020-03-08,NL,4,100,100
2020-03-15,NL,6,94,94
2020-03-22,NL,6,58,58
2020-03-29,NL,6,52,52
2020-04-05,NL,5,71,71
2020-04-12,NL,5,57,57
2020-04-19,NL,5,25,25
2020-04-26,NL,4,20,20
2020-05-03,NL,4,13,13
2020-05-10,NL,4,11,11
2020-05-17,NL,4,9,9
2020-05-24,NL,4,8,8
2020-05-31,NL,4,8,8
2020-06-07,NL,4,7,7
2020-06-14,NL,4,6,6
2020-06-21,NL,4,6,6
2020-06-28,NL,4,6,6
2020-07-05,NL,4,6,6
2020-07-12,NL,5,6,6
2020-07-19,NL,6,7,7
2020-07-26,NL,5,6,6
2020-08-02,NL,5,6,6
2020-08-09,NL,5,5,5
2020-08-16,NL,5,5,5
2020-08-23,NL,5,4,5
2020-08-30,NL,4,4,4
2020-09-06,NL,5,5,5
2020-09-13,NL,6,5,6
2020-09-20,NL,6,6,6
2020-09-27,NL,8,6,8
2020-10-04,NL,7,7,7
2020-10-11,NL,8,8,8
2020-10-18,NL,7,6,7
2020-10-25,NL,6,6,6
2020-11-01,NL,6,5,6
2020-11-08,NL,5,4,5
2020-11-15,NL,5,4,5
