date,country_code,covid,coronavirus,search_max
2019-12-01,PL,0,0,0
2019-12-08,PL,0,0,0
2019-12-15,PL,0,0,0
2019-12-22,PL,0,0,0
2019-12-29,PL,0,0,0
2020-01-05,PL,0,0,0
2020-01-12,PL,0,0,0
2020-01-19,PL,0,3,3
2020-01-26,PL,0,15,15
2020-02-02,PL,0,9,9
2020-02-09,PL,0,7,7
2020-02-16,PL,0,5,5
2020-02-23,PL,2,30,30
2020-03-01,PL,3,30,30
2020-03-08,PL,14,73,73
2020-03-15,PL,20,63,63
2020-03-22,PL,21,57,57
2020-03-29,PL,22,52,52
2020-04-05,PL,22,41,41
2020-04-12,PL,20,28,28
2020-04-19,PL,20,22,22
2020-04-26,PL,18,17,18
2020-05-03,PL,18,14,18
2020-05-10,PL,17,12,17
2020-05-17,PL,18,10,18
2020-05-24,PL,18,8,18
2020-05-31,PL,16,8,16
2020-06-07,PL,16,8,16
2020-06-14,PL,17,7,17
2020-06-21,PL,16,7,16
2020-06-28,PL,16,6,16
2020-07-05,PL,16,7,16
2020-07-12,PL,16,6,16
2020-07-19,PL,22,7,22
2020-07-26,PL,30,9,30
2020-08-02,PL,36,9,36
2020-08-09,PL,34,8,34
2020-08-16,PL,34,7,34
2020-08-23,PL,33,6,33
2020-08-30,PL,27,5,27
2020-09-06,PL,21,5,21
2020-09-13,PL,23,5,23
2020-09-20,PL,26,6,26
2020-09-27,PL,42,6,42
2020-10-04,PL,65,9,65
2020-10-11,PL,79,10,79
2020-10-18,PL,100,10,100
2020-10-25,PL,100,9,100
2020-11-01,PL,91,8,91
2020-11-08,PL,72,6,72
2020-11-15,PL,57,5,57
