date,country_code,covid,coronavirus,search_max
2019-12-01,PT,0,0,0
2019-12-08,PT,0,0,0
2019-12-15,PT,0,0,0
2019-12-22,PT,0,0,0
2019-12-29,PT,0,0,0
2020-01-05,PT,0,0,0
2020-01-12,PT,0,0,0
2020-01-19,PT,0,4,4
2020-01-26,PT,0,12,12
2020-02-02,PT,0,8,8
2020-02-09,PT,0,6,6
2020-02-16,PT,0,4,4
2020-02-23,PT,2,26,26
2020-03-01,PT,5,41,41
2020-03-08,PT,34,100,100
2020-03-15,PT,51,68,68
2020-03-22,PT,45,45,45
2020-03-29,PT,38,42,42
2020-04-05,PT,31,22,31
2020-04-12,PT,25,16,25
2020-04-19,PT,21,12,21
2020-04-26,PT,21,11,21
2020-05-03,PT,20,10,20
2020-05-10,PT,18,8,18
2020-05-17,PT,17,8,17
2020-05-24,PT,17,7,17
2020-05-31,PT,16,6,16
2020-06-07,PT,13,5,13
2020-06-14,PT,16,5,16
2020-06-21,PT,19,6,19
2020-06-28,PT,20,6,20
2020-07-05,PT,17,5,17
2020-07-12,PT,15,5,15
2020-07-19,PT,14,4,14
2020-07-26,PT,14,4,14
2020-08-02,PT,14,4,14
2020-08-09,PT,14,4,14
2020-08-16,PT,13,4,13
2020-08-23,PT,16,4,16
2020-08-30,PT,20,4,20
2020-09-06,PT,26,5,26
2020-09-13,PT,26,4,26
2020-09-20,PT,24,4,24
2020-09-27,PT,19,3,19
2020-10-04,PT,21,4,21
2020-10-11,PT,37,5,37
2020-10-18,PT,34,5,34
2020-10-25,PT,37,5,37
2020-11-01,PT,36,4,36
2020-11-08,PT,36,4,36
2020-11-15,PT,35,4,35
