date,country_code,covid,coronavirus,search_max
2019-12-01,RO,0,0,0
2019-12-08,RO,0,0,0
2019-12-15,RO,0,0,0
2019-12-22,RO,0,0,0
2019-12-29,RO,0,0,0
2020-01-05,RO,0,0,0
2020-01-12,RO,0,0,0
2020-01-19,RO,0,2,2
2020-01-26,RO,0,9,9
2020-02-02,RO,0,6,6
2020-02-09,RO,0,7,7
2020-02-16,RO,0,5,5
2020-02-23,RO,1,40,40
2020-03-01,RO,1,18,18
2020-03-08,RO,10,100,100
2020-03-15,RO,16,96,96
2020-03-22,RO,20,76,76
2020-03-29,RO,18,60,60
2020-04-05,RO,13,59,59
2020-04-12,RO,11,46,46
2020-04-19,RO,10,26,26
2020-04-26,RO,9,20,20
2020-05-03,RO,8,17,17
2020-05-10,RO,8,15,15
2020-05-17,RO,7,14,14
2020-05-24,RO,6,12,12
2020-05-31,RO,6,11,11
2020-06-07,RO,6,10,10
2020-06-14,RO,8,12,12
2020-06-21,RO,9,13,13
2020-06-28,RO,10,13,13
2020-07-05,RO,13,15,15
2020-07-12,RO,18,16,18
2020-07-19,RO,20,16,20
2020-07-26,RO,18,14,18
2020-08-02,RO,15,15,15
2020-08-09,RO,14,10,14
2020-08-16,RO,12,9,12
2020-08-23,RO,12,8,12
2020-08-30,RO,11,7,11
2020-09-06,RO,10,7,10
2020-09-13,RO,11,7,11
2020-09-20,RO,10,6,10
2020-09-27,RO,11,6,11
2020-10-04,RO,17,9,17
2020-10-11,RO,19,10,19
2020-10-18,RO,19,10,19
2020-10-25,RO,19,9,19
2020-11-01,RO,22,10,22
2020-11-08,RO,19,8,19
2020-11-15,RO,18,7,18
