date,country_code,covid,coronavirus,search_max
2019-12-01,SE,0,0,0
2019-12-08,SE,0,0,0
2019-12-15,SE,0,0,0
2019-12-22,SE,0,0,0
2019-12-29,SE,0,0,0
2020-01-05,SE,0,0,0
2020-01-12,SE,0,0,0
2020-01-19,SE,0,10,10
2020-01-26,SE,0,36,36
2020-02-02,SE,0,19,19
2020-02-09,SE,0,12,12
2020-02-16,SE,0,9,9
2020-02-23,SE,1,46,46
2020-03-01,SE,3,55,55
2020-03-08,SE,10,100,100
2020-03-15,SE,14,67,67
2020-03-22,SE,15,50,50
2020-03-29,SE,17,54,54
2020-04-05,SE,15,65,65
2020-04-12,SE,15,61,61
2020-04-19,SE,14,21,21
2020-04-26,SE,14,15,15
2020-05-03,SE,13,14,14
2020-05-10,SE,13,11,13
2020-05-17,SE,12,10,12
2020-05-24,SE,12,9,12
2020-05-31,SE,12,8,12
2020-06-07,SE,14,7,14
2020-06-14,SE,15,7,15
2020-06-21,SE,15,7,15
2020-06-28,SE,13,6,13
2020-07-05,SE,12,6,12
2020-07-12,SE,11,6,11
2020-07-19,SE,10,5,10
2020-07-26,SE,10,5,10
2020-08-02,SE,10,4,10
2020-08-09,SE,11,4,11
2020-08-16,SE,11,4,11
2020-08-23,SE,11,3,11
2020-08-30,SE,13,3,13
2020-09-06,SE,13,3,13
2020-09-13,SE,11,3,11
2020-09-20,SE,11,3,11
2020-09-27,SE,12,3,12
2020-10-04,SE,14,3,14
2020-10-11,SE,14,3,14
2020-10-18,SE,17,3,17
2020-10-25,SE,21,4,21
2020-11-01,SE,26,5,26
2020-11-08,SE,31,5,31
2020-11-15,SE,28,4,28
