date,country_code,covid,coronavirus,search_max
2019-12-01,SI,0,0,0
2019-12-08,SI,0,0,0
2019-12-15,SI,0,0,0
2019-12-22,SI,0,0,0
2019-12-29,SI,0,0,0
2020-01-05,SI,0,0,0
2020-01-12,SI,0,0,0
2020-01-19,SI,0,3,3
2020-01-26,SI,0,16,16
2020-02-02,SI,0,11,11
2020-02-09,SI,0,9,9
2020-02-16,SI,1,8,8
2020-02-23,SI,2,48,48
2020-03-01,SI,2,38,38
2020-03-08,SI,12,100,100
2020-03-15,SI,17,79,79
2020-03-22,SI,18,65,65
2020-03-29,SI,21,65,65
2020-04-05,SI,19,46,46
2020-04-12,SI,20,38,38
2020-04-19,SI,16,27,27
2020-04-26,SI,15,22,22
2020-05-03,SI,17,17,17
2020-05-10,SI,15,14,15
2020-05-17,SI,13,13,13
2020-05-24,SI,11,9,11
2020-05-31,SI,11,9,11
2020-06-07,SI,12,8,12
2020-06-14,SI,15,9,15
2020-06-21,SI,23,13,23
2020-06-28,SI,27,12,27
2020-07-05,SI,27,12,27
2020-07-12,SI,21,10,21
2020-07-19,SI,20,8,20
2020-07-26,SI,17,8,17
2020-08-02,SI,14,6,14
2020-08-09,SI,19,7,19
2020-08-16,SI,23,8,23
2020-08-23,SI,21,7,21
2020-08-30,SI,21,7,21
2020-09-06,SI,28,7,28
2020-09-13,SI,33,5,33
2020-09-20,SI,29,6,29
2020-09-27,SI,31,5,31
2020-10-04,SI,43,8,43
2020-10-11,SI,67,10,67
2020-10-18,SI,73,9,73
2020-10-25,SI,75,8,75
2020-11-01,SI,51,5,51
2020-11-08,SI,44,6,44
2020-11-15,SI,42,5,42
