date,country_code,covid,coronavirus,search_max
2019-12-01,SK,0,0,0
2019-12-08,SK,0,0,0
2019-12-15,SK,0,0,0
2019-12-22,SK,0,0,0
2019-12-29,SK,0,0,0
2020-01-05,SK,0,0,0
2020-01-12,SK,0,0,0
2020-01-19,SK,0,3,3
2020-01-26,SK,0,19,19
2020-02-02,SK,0,9,9
2020-02-09,SK,0,5,5
2020-02-16,SK,0,3,3
2020-02-23,SK,1,28,28
2020-03-01,SK,2,34,34
2020-03-08,SK,12,76,76
2020-03-15,SK,20,70,70
2020-03-22,SK,18,48,48
2020-03-29,SK,22,44,44
2020-04-05,SK,20,32,32
2020-04-12,SK,20,23,23
2020-04-19,SK,20,16,20
2020-04-26,SK,14,14,14
2020-05-03,SK,14,10,14
2020-05-10,SK,11,9,11
2020-05-17,SK,11,9,11
2020-05-24,SK,9,7,9
2020-05-31,SK,8,6,8
2020-06-07,SK,8,6,8
2020-06-14,SK,8,6,8
2020-06-21,SK,12,7,12
2020-06-28,SK,15,6,15
2020-07-05,SK,17,7,17
2020-07-12,SK,15,6,15
2020-07-19,SK,14,5,14
2020-07-26,SK,14,6,14
2020-08-02,SK,16,6,16
2020-08-09,SK,18,6,18
2020-08-16,SK,22,6,22
2020-08-23,SK,24,5,24
2020-08-30,SK,23,5,23
2020-09-06,SK,28,6,28
2020-09-13,SK,32,6,32
2020-09-20,SK,32,6,32
2020-09-27,SK,41,6,41
2020-10-04,SK,38,6,38
2020-10-11,SK,51,6,51
2020-10-18,SK,70,7,70
2020-10-25,SK,100,6,100
2020-11-01,SK,61,4,61
2020-11-08,SK,40,3,40
2020-11-15,SK,27,2,27
